coverage_id,name_suffix,is_test_named,status,grid_axes,grid_extents,band_count,bytes_per_cell,tiling_source,tiling_scheme,declared_tiling,tile_configuration,tile_extents,cells_per_tile,declared_tile_size_bytes,computed_bytes_per_tile,actual_avg_bytes_per_tile,tile_no,total_size_bytes,real_data_bytes,storage_overhead_factor,per_axis_divisibility,blocks_per_axis,axes_with_padding,point_query_tiles,point_query_bytes_read,point_query_amplification,map_query_tiles,map_query_bytes_read,map_query_amplification,suspected_axis_mismatch,mismatch_confidence,mismatch_evidence,suggested_reorder,declared_vs_actual,tiles_sampled,distinct_tile_shapes,partition_homogeneous,modal_tile_shape,observed_block_starts,axes_split_into_blocks,collection_used,collection_resolution,other_collections_found,wcps_domain,wcps_cell_type,wcps_null_values,wcps_vs_describe,dbinfo_array_matches,sdom,base_type,recipe_path,raw_file,note
cmip6_downscaled_tasmax_NorESM2_MM_ssp370_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmax_NorESM2_MM_ssp370_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmax_NorESM2-MM_ssp370_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmax_NorESM2_MM_ssp585_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmax_NorESM2_MM_ssp585_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmax_NorESM2-MM_ssp585_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmax_TaiESM1_historical_v2_wcs,wcs,no,ok,ansi X Y,"18250,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","18250,32,32",18688000,16777216,74752000,12267172.477905074,1222,14990484768,14875940000,1.0077,"ok,PAD,PAD","1,14,15",2,1,74752000,1024.0,210,15697920000,19258.4,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmax_TaiESM1_historical_wcs_v2,petascopedb pointer,,"[0:18249,0:442,0:459]",float,-9999.000000,match,yes,"[0:18249,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmax_TaiESM1_historical_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmax_TaiESM1_ssp126_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmax_TaiESM1_ssp126_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmax_TaiESM1_ssp126_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmax_TaiESM1_ssp245_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmax_TaiESM1_ssp245_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmax_TaiESM1_ssp245_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmax_TaiESM1_ssp370_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmax_TaiESM1_ssp370_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmax_TaiESM1_ssp370_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmax_TaiESM1_ssp585_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmax_TaiESM1_ssp585_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmax_TaiESM1_ssp585_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmax_v2_wms,wms,no,ok,model scenario year X Y,"2,2,2,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:*, 0:*, 0:*, 0:*] tile size 16777216","[0:*,0:*,0:*,0:*,0:*]","2,2,2,443,460",1630240,16777216,6520960,543413.3333333334,6,3260480,6520960,0.5,"ok,ok,ok,ok,ok","1,1,1,1,1",0,1,6520960,203780.0,1,6520960,8.0,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmax_wms_v2_2026_03_19_12_52_15_9385,petascopedb pointer,,"[0:1,0:1,0:1,0:442,0:459]",float,-9999.000000,match,yes,"[0:1,0:1,0:1,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",ardac/cmip6_downscaled/wms_ingest_scripts/tasmax_wms_ingest.json,,collection name differs from coverage id
cmip6_downscaled_tasmax_v2_wms_test,wms,yes,ok,model scenario year X Y,"1,1,1,1,1",1,4,dbinfo (measured),aligned,,"[0:*,0:*,0:*,0:*,0:*]","1,1,1,1,1",1,16777216,4,4.0,1,4,4,1.0,"ok,ok,ok,ok,ok","1,1,1,1,1",0,1,4,1.0,1,4,1.0,no,,,,,,,,,,,cmip6_downscaled_tasmax_v2_wms_test,petascopedb pointer,,"[0:0,0:0,0:0,0:0,0:0]",float,-9999.000000,match,yes,"[0:0,0:0,0:0,0:0,0:0]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",,,
cmip6_downscaled_tasmax_wms,wms,no,ok,model scenario year X Y,"2,2,2,443,460",1,4,dbinfo (measured),aligned,,"[0:*,0:*,0:*,0:*,0:*]","2,2,2,443,460",1630240,16777216,6520960,543413.3333333334,6,3260480,6520960,0.5,"ok,ok,ok,ok,ok","1,1,1,1,1",0,1,6520960,203780.0,1,6520960,8.0,no,,,,,,,,,,,cmip6_downscaled_tasmax_wms_2025_11_03_14_12_25_6557,petascopedb pointer,,"[0:1,0:1,0:1,0:442,0:459]",float,-9999.000000,match,yes,"[0:1,0:1,0:1,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*),D3(*:*),D4(*:*)]>",,,collection name differs from coverage id
cmip6_downscaled_tasmin_7ModelAvg_historical_v2_wcs,wcs,no,ok,ansi X Y,"18250,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","18250,32,32",18688000,16777216,74752000,12267172.477905074,1222,14990484768,14875940000,1.0077,"ok,PAD,PAD","1,14,15",2,1,74752000,1024.0,210,15697920000,19258.4,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_7ModelAvg_historical_wcs_v2,petascopedb pointer,,"[0:18249,0:442,0:459]",float,-9999.000000,match,yes,"[0:18249,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_7ModelAvg_historical_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_7ModelAvg_ssp126_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_7ModelAvg_ssp126_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_7ModelAvg_ssp126_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_7ModelAvg_ssp245_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_7ModelAvg_ssp245_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_7ModelAvg_ssp245_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_7ModelAvg_ssp370_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_7ModelAvg_ssp370_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_7ModelAvg_ssp370_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_7ModelAvg_ssp585_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_7ModelAvg_ssp585_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_7ModelAvg_ssp585_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_CNRM_CM6_1_HR_historical_v2_wcs,wcs,no,ok,ansi X Y,"18250,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","18250,32,32",18688000,16777216,74752000,12267172.477905074,1222,14990484768,14875940000,1.0077,"ok,PAD,PAD","1,14,15",2,1,74752000,1024.0,210,15697920000,19258.4,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_CNRM_CM6_1_HR_historical_wcs_v2,petascopedb pointer,,"[0:18249,0:442,0:459]",float,-9999.000000,match,yes,"[0:18249,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_CNRM-CM6-1-HR_historical_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_CNRM_CM6_1_HR_ssp126_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_CNRM_CM6_1_HR_ssp126_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_CNRM-CM6-1-HR_ssp126_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_CNRM_CM6_1_HR_ssp585_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_CNRM_CM6_1_HR_ssp585_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_CNRM-CM6-1-HR_ssp585_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_E3SM_2_0_historical_v2_wcs,wcs,no,ok,ansi X Y,"18250,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","18250,32,32",18688000,16777216,74752000,12267172.477905074,1222,14990484768,14875940000,1.0077,"ok,PAD,PAD","1,14,15",2,1,74752000,1024.0,210,15697920000,19258.4,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_E3SM_2_0_historical_wcs_v2,petascopedb pointer,,"[0:18249,0:442,0:459]",float,-9999.000000,match,yes,"[0:18249,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_E3SM-2-0_historical_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_E3SM_2_0_ssp370_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_E3SM_2_0_ssp370_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_E3SM-2-0_ssp370_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_EC_Earth3_Veg_historical_v2_wcs,wcs,no,ok,ansi X Y,"18250,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","18250,32,32",18688000,16777216,74752000,12267172.477905074,1222,14990484768,14875940000,1.0077,"ok,PAD,PAD","1,14,15",2,1,74752000,1024.0,210,15697920000,19258.4,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_EC_Earth3_Veg_historical_wcs_v2,petascopedb pointer,,"[0:18249,0:442,0:459]",float,-9999.000000,match,yes,"[0:18249,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_EC-Earth3-Veg_historical_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_EC_Earth3_Veg_ssp370_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_EC_Earth3_Veg_ssp370_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_EC-Earth3-Veg_ssp370_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_EC_Earth3_Veg_ssp585_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_EC_Earth3_Veg_ssp585_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_EC-Earth3-Veg_ssp585_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_GFDL_ESM4_historical_v2_wcs,wcs,no,ok,ansi X Y,"18250,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","18250,32,32",18688000,16777216,74752000,12267172.477905074,1222,14990484768,14875940000,1.0077,"ok,PAD,PAD","1,14,15",2,1,74752000,1024.0,210,15697920000,19258.4,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_GFDL_ESM4_historical_wcs_v2,petascopedb pointer,,"[0:18249,0:442,0:459]",float,-9999.000000,match,yes,"[0:18249,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_GFDL-ESM4_historical_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_GFDL_ESM4_ssp126_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_GFDL_ESM4_ssp126_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_GFDL-ESM4_ssp126_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_GFDL_ESM4_ssp245_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_GFDL_ESM4_ssp245_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_GFDL-ESM4_ssp245_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_GFDL_ESM4_ssp370_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_GFDL_ESM4_ssp370_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_GFDL-ESM4_ssp370_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_GFDL_ESM4_ssp585_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_GFDL_ESM4_ssp585_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_GFDL-ESM4_ssp585_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_HadGEM3_GC31_LL_historical_v2_wcs,wcs,no,ok,ansi X Y,"18250,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","18250,32,32",18688000,16777216,74752000,12267172.477905074,1222,14990484768,14875940000,1.0077,"ok,PAD,PAD","1,14,15",2,1,74752000,1024.0,210,15697920000,19258.4,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_HadGEM3_GC31_LL_historical_wcs_v2,petascopedb pointer,,"[0:18249,0:442,0:459]",float,-9999.000000,match,yes,"[0:18249,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_HadGEM3-GC31-LL_historical_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_HadGEM3_GC31_LL_ssp126_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_HadGEM3_GC31_LL_ssp126_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_HadGEM3-GC31-LL_ssp126_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_HadGEM3_GC31_LL_ssp245_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_HadGEM3_GC31_LL_ssp245_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_HadGEM3-GC31-LL_ssp245_adjusted.json,,collection name differs from coverage id
cmip6_downscaled_tasmin_HadGEM3_GC31_LL_ssp585_v2_wcs,wcs,no,ok,ansi X Y,"31390,443,460",1,4,dbinfo (measured),aligned,"ALIGNED [0:*, 0:31, 0:31] tile size 16777216","[0:*,0:31,0:31]","31390,32,32",32143360,16777216,128573440,13196210.503067484,1956,25811787744,25586616800,1.0088,"ok,PAD,PAD","1,14,15",2,1,128573440,1024.0,210,27000422400,33124.5,no,,,,n/a (wildcards derived),,,,,,,cmip6_downscaled_tasmin_HadGEM3_GC31_LL_ssp585_wcs_v2,petascopedb pointer,,"[0:31389,0:442,0:459]",float,-9999.000000,match,yes,"[0:31389,0:442,0:459]","marray <float,[D0(*:*),D1(*:*),D2(*:*)]>",ardac/cmip6_downscaled/wcs_ingest_scripts/tasmin_HadGEM3-GC31-LL_ssp585_adjusted.json,,collection name differs from coverage id
